No,contract_address,payer_address,gas_limit,gas_price,function_name,pre_exec,params,result
1,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,Name,True,,4d757a696b6120546f6b656e
3,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,Decimals,True,,08
5,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,TotalSupply,True,,
7,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,Deploy,False,,8da6dcfe656d92a644a1aa430dbcca0e56c595fd2456ed595329b18a2885acaa
9,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,TotalSupply,True,,100000000000000000
11,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,Symbol,True,,4d5a4b
13,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,BalanceOf,True,ANTPeXCffDZCaCXxY9u2UdssB2EYpP4BMh,
15,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,BalanceOf,True,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,100000000000000000
17,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,Transfer,False,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p:ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6:500,db4c3adea70d428b6da1f0e1b896064b4fa9e51c1e07967c3bff3f1c4cea7dc6
19,3e5c4e1cbf9db435a55afc9fb1eafaa6ee5d096a,AQf4Mzu1YJrhz9f3aRkkwSm9n3qhXGSh4p,20000,0,BalanceOf,True,ASUwFccvYFrrWR6vsZhhNszLFNvCLA5qS6,500
